text,sentiment
Very satisfied!,positive
This is bad.,negative
Acceptable product.,neutral
Superb experience!,positive
So dissatisfied with this product.,negative
Neither good nor bad.,neutral
Loved it!,positive
Total waste of money.,negative
It's alright.,neutral
Marvelous!,positive
I hate this.,negative
Neither good nor bad.,neutral
I love this!,positive
Bad service.,negative
Mediocre quality.,neutral
Will buy again.,positive
Thumbs down.,negative
Fair enough.,neutral
Will buy again.,positive
Thumbs down.,negative
Fair enough.,neutral
So pleased with this product.,positive
Awful work.,negative
Mediocre quality.,neutral
Definitely worth it.,positive
Disgusting!,negative
Mediocre quality.,neutral
Excellent work!,positive
Didn't meet expectations.,negative
Fair enough.,neutral
Absolutely fantastic!,positive
Total waste of money.,negative
Not too bad.,neutral
Top quality!,positive
I hate this.,negative
Mildly satisfied.,neutral
I love this!,positive
Poor quality.,negative
Can't complain.,neutral
Very satisfied!,positive
Do not recommend this.,negative
Can't complain.,neutral
Very satisfied!,positive
Poor quality.,negative
Can't complain.,neutral
Very happy with the result.,positive
I hate this.,negative
It's okay.,neutral
Very satisfied!,positive
This is bad.,negative
Mildly satisfied.,neutral
Will buy again.,positive
Very unhappy with the result.,negative
Mediocre quality.,neutral
Superb experience!,positive
Very disappointed.,negative
Works as expected.,neutral
Great service!,positive
Bad service.,negative
Acceptable product.,neutral
Amazing experience!,positive
Do not recommend this.,negative
No strong feelings.,neutral
Exceeded expectations.,positive
Poor quality.,negative
Fair enough.,neutral
Very satisfied!,positive
Will not buy again.,negative
Reasonable product.,neutral
Loved it!,positive
Disgusting!,negative
It's alright.,neutral
Loved it!,positive
This is bad.,negative
Can't complain.,neutral
Top quality!,positive
Total waste of money.,negative
Mediocre quality.,neutral
Excellent work!,positive
Hated it.,negative
Nothing special.,neutral
I love this!,positive
Will not buy again.,negative
Neither good nor bad.,neutral
Very happy with the result.,positive
I hate this.,negative
Fair enough.,neutral
Very happy with the result.,positive
So dissatisfied with this product.,negative
Nothing special.,neutral
Superb experience!,positive
Didn't meet expectations.,negative
Acceptable product.,neutral
Wonderful product.,positive
Didn't meet expectations.,negative
Service was fine.,neutral
I love this!,positive
Very unhappy with the result.,negative
Fair enough.,neutral
Best ever!,positive
